selection sort threshold, time(ns)
0, 272751000
1, 107638000
2, 122117000
3, 99662000
4, 93479000
5, 128196000
6, 104318000
7, 86704000
8, 94859000
9, 109102000
10, 87368000
11, 90822000
12, 87517000
13, 121903000
14, 88612000
15, 105678000
16, 101882000
17, 93726000
18, 92653000
19, 94017000
20, 92471000
21, 98884000
22, 92879000
23, 91904000
24, 91557000
25, 93144000
26, 91899000
27, 91414000
28, 108045000
29, 97198000
0, 281954000
1, 96022000
2, 90631000
3, 89263000
4, 84062000
5, 84558000
6, 84212000
7, 87896000
8, 83488000
9, 83446000
10, 85208000
11, 85454000
12, 85203000
13, 94547000
14, 83479000
15, 88372000
16, 91276000
17, 91317000
18, 91054000
19, 91546000
20, 91591000
21, 94566000
22, 92560000
23, 90805000
24, 90999000
25, 91143000
26, 91539000
27, 90206000
28, 91159000
29, 92298000
0, 272283000
1, 96308000
2, 89469000
3, 88720000
4, 83463000
5, 88653000
6, 83672000
7, 82281000
8, 83253000
9, 89073000
10, 84471000
11, 87728000
12, 84993000
13, 93643000
14, 86548000
15, 89009000
16, 91698000
17, 91438000
18, 90476000
19, 95272000
20, 93121000
21, 97670000
22, 95760000
23, 92020000
24, 93345000
25, 90374000
26, 89832000
27, 90113000
28, 90010000
29, 94882000
